name,fm./loc.,slat,slon,n,dec,inc,k,alpha95,f_corr,VGP_lat,VGP_lon,K,A95,dp,dm,mean_age,min_age,2sig_min,max_age,2sig_max,uncer_dist,rock_typ_1,rock_typ_2,rock_typ_3,geologic_classes,geologic_types,lithologies,demag,struc_cont,rot_area,polarity,strat_group,ordering,synch_unit,in_study_pole,rej_crit,pmag_ref,age_ref,pmag_comments,age_comments,citations,Study,VGP_lon_recalc,VGP_lat_recalc,inc_reverse,dec_reverse,vgp_lat_SH,vgp_lon_SH,age_uncertainty,keep
sr16,McKinney Basalt,42.88822,244.92279,7,347.4,65.6,227.9,4,,79.89721112,188.2451584,,,,,0.052,0.028,,0.076,,normal,igneous,volcanic,,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,N,0,,0,1,[],Tauxe et al. (2004),Tauxe et al. (2004),,,10.1029/2003GC000661,Snake_River_Plain,188.2451584,79.89721112,-65.6,167.4,-79.89721112,8.245158402,0.048,TRUE
1C684,Sawmill Creek basalt,36.91,241.69,8,0.4,70.2,248,3.5,,72.6,242.5,,,,,0.053,0.009,,0.097,,normal,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,1,0,N,0,,0,1,[],Mankinen (2008),Mankinen (2008),,,10.1029/2008GC001957,SW_USA_composite,242.4743905,72.66336973,-70.2,180.4,-72.66336973,62.47439049,0.088,TRUE
S46,Battleship Rock,35.86,253.36,9,358.3,43.2,317,2.9,,79.2,81.6,,,,,0.055,0.05,,0.06,,uniform,igneous,volcanic,ash flow,Igneous:Extrusive,Tuff,Felsic tuff,AF-TH,1,0,N,1,2,0,1,[],Doell et al. (1968),Goff et al. (2011),,,10.1130/MEM116-p211:https://ui.adsabs.harvard.edu/abs/2011AGUFM.V13C2606G/abstract,Valles_Caldera_volcanics,81.59363436,79.19241141,-43.2,178.3,-79.19241141,261.5936344,0.01,TRUE
5L209,Long Valley Caldera - late basalts and trachyandesites,37.58879305,-118.8900847,5,338,37.6,234,5,,64.8,116.3,,,,,0.064,0.036,,0.092,,normal,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,0,0,N,0,,0,1,[],Mankinen et al. (1986),Mankinen et al. (1986),,K-Ar ages not updated from 1986 standards,10.1029/JB091iB01p00633,Long_Valley_Caldera_volcanics,116.3,64.8,-37.6,158,-64.8,296.3,0.056,TRUE
5L352,Long Valley Caldera - late basalts and trachyandesites,37.57885945,-119.0200201,8,17.7,25.8,741,2,,61.3,23,,,,,0.086,0.066,,0.106,,normal,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,0,0,N,0,,0,1,[],Mankinen et al. (1986),Mankinen et al. (1986),,K-Ar ages not updated from 1986 standards,10.1029/JB091iB01p00633,Long_Valley_Caldera_volcanics,23,61.3,-25.8,197.7,-61.3,203,0.04,TRUE
5L344,Long Valley Caldera - late basalts and trachyandesites,37.56855416,-118.7576259,8,5.8,48.4,471,2.6,,80.5,29,,,,,0.095,0.069,,0.121,,normal,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,0,0,N,0,,0,1,[],Mankinen et al. (1986),Mankinen et al. (1986),,K-Ar ages not updated from 1986 standards,10.1029/JB091iB01p00633,Long_Valley_Caldera_volcanics,28.9999999,80.50000003,-48.4,185.8,-80.50000003,208.9999999,0.052,TRUE
sr04,Springs Basalt,42.60104,245.59638,5,16.5,54.6,316.1,4.3,,75.17624315,0.378983311,,,,,0.095,0.081,,0.109,,normal,igneous,volcanic,,Igneous:Extrusive,Lava,Basalt,AF-TH,1,0,N,0,,0,1,[],Tauxe et al. (2004),Tauxe et al. (2004),,,10.1029/2003GC000661,Snake_River_Plain,0.378983311,75.17624315,-54.6,196.5,-75.17624315,180.3789833,0.028,TRUE
5L290,Long Valley Caldera - moat rhyolites,37.64719349,-119.223193,8,349.7,50.9,136,4.8,,79.6,118.3,,,,,0.097,0.085,,0.109,,normal,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,BL-AF,0,0,N,0,,0,1,[],Mankinen et al. (1986),Mankinen et al. (1986),,K-Ar ages not updated from 1986 standards,10.1029/JB091iB01p00633,Long_Valley_Caldera_volcanics,118.3,79.6,-50.9,169.7,-79.6,298.3,0.024,TRUE
5L334,Long Valley Caldera - late basalts and trachyandesites,37.74608474,-117.9078285,5,358.9,58.5,411,3.8,,88.3,212,,,,,0.103,0.085,,0.121,,normal,igneous,volcanic,basalt,Igneous:Extrusive,Lava,Basalt,BL-AF,0,0,N,0,,0,1,[],Mankinen et al. (1986),Mankinen et al. (1986),,K-Ar ages not updated from 1986 standards,10.1029/JB091iB01p00633,Long_Valley_Caldera_volcanics,212,88.3,-58.5,178.9,-88.3,32.00000002,0.036,TRUE
5L298,Long Valley Caldera - moat rhyolites,37.71769635,-118.7860064,6,346.1,63.6,133,5.8,,77.2,191.4,,,,,0.11,0.088,,0.132,,normal,igneous,volcanic,rhyolite,Igneous:Extrusive,Lava,Rhyolite,BL-AF,0,0,N,0,,0,1,[],Mankinen et al. (1986),Mankinen et al. (1986),,K-Ar ages not updated from 1986 standards,10.1029/JB091iB01p00633,Long_Valley_Caldera_volcanics,191.4,77.2,-63.6,166.1,-77.2,11.4,0.044,TRUE
